IMAGE_NAME        LANDMARK_INDEX    X_PIXEL      Y_PIXEL      Z_COORDINATE
image.jpg         167               499          362          -0.025306      
image.jpg         168               508          264          -0.033825      
image.jpg         169               436          424          0.040704       
image.jpg         170               453          435          0.031552       
image.jpg         171               493          451          0.011915       
image.jpg         172               400          406          0.087877       
image.jpg         173               471          270          -0.007848      
image.jpg         174               493          299          -0.037636      
image.jpg         175               517          451          0.012217       
image.jpg         176               474          453          0.034349       
image.jpg         177               378          354          0.068051       
image.jpg         178               490          385          -0.008000      
image.jpg         179               489          387          -0.009990      
image.jpg         180               488          391          -0.011439      
image.jpg         181               487          397          -0.009203      
image.jpg         182               483          408          0.000177       
image.jpg         183               469          383          0.001446       
image.jpg         184               467          382          0.000778       
image.jpg         185               463          381          -0.000050      
image.jpg         186               453          376          -0.000643      
image.jpg         187               407          354          0.011069       
image.jpg         188               492          287          -0.028934      
image.jpg         189               483          266          -0.012883      
image.jpg         190               475          268          -0.009763      
image.jpg         191               471          381          0.002868       
image.jpg         192               405          380          0.033545       
image.jpg         193               493          266          -0.027100      
image.jpg         194               478          421          0.007079       
image.jpg         195               514          304          -0.055806      
image.jpg         196               502          294          -0.045973      
image.jpg         197               512          291          -0.047604      
image.jpg         198               486          317          -0.035227      
image.jpg         199               517          439          0.003396       
image.jpg         200               516          424          0.001050       
image.jpg         201               497          426          0.001573       
image.jpg         202               449          401          0.015562       
image.jpg         203               462          345          -0.010987      
image.jpg         204               462          412          0.012259       
image.jpg         205               434          344          -0.010022      
image.jpg         206               451          356          -0.007692      
image.jpg         207               423          362          0.001755       
image.jpg         208               494          440          0.003788       
image.jpg         209               479          323          -0.026361      
image.jpg         210               439          411          0.026170       
image.jpg         211               456          423          0.021412       
image.jpg         212               438          387          0.012738       
image.jpg         213               393          367          0.040333       
image.jpg         214               422          391          0.022375       
image.jpg         215               385          376          0.068210       
image.jpg         216               441          369          -0.000917      
image.jpg         217               486          306          -0.028815      
image.jpg         218               490          342          -0.049633      
image.jpg         219               481          343          -0.036315      
image.jpg         220               496          335          -0.058374      
image.jpg         221               474          259          -0.019298      
image.jpg         222               456          255          -0.024763      
image.jpg         223               440          255          -0.026099      
image.jpg         224               426          256          -0.022939      
image.jpg         225               416          260          -0.016450      
image.jpg         226               409          277          0.004117       
image.jpg         227               372          306          0.057387       
image.jpg         228               419          291          -0.001048      
image.jpg         229               432          294          -0.006235      
image.jpg         230               448          293          -0.009067      
image.jpg         231               462          290          -0.009445      
image.jpg         232               472          286          -0.009224      
image.jpg         233               479          282          -0.009601      
image.jpg         234               367          304          0.100613       
image.jpg         235               481          345          -0.029913      
image.jpg         236               495          311          -0.045001      
image.jpg         237               499          344          -0.057341      
image.jpg         238               505          348          -0.050700      
image.jpg         239               499          345          -0.051445      
image.jpg         240               484          348          -0.024700      
image.jpg         241               507          349          -0.053413      
image.jpg         242               508          351          -0.038580      
image.jpg         243               478          274          -0.005835      
image.jpg         244               485          277          -0.011553      
image.jpg         245               489          279          -0.019041      
image.jpg         246               424          269          -0.006719      
image.jpg         247               418          268          -0.007491      
image.jpg         248               522          305          -0.049932      
image.jpg         249               580          265          0.018373       
image.jpg         250               525          347          -0.036897      
image.jpg         251               609          222          0.070175       
image.jpg         252               550          277          0.003803       
image.jpg         253               560          277          0.006024       
image.jpg         254               571          276          0.010377       
image.jpg         255               583          269          0.021464       
image.jpg         256               541          276          0.002856       
image.jpg         257               564          253          -0.001960      
image.jpg         258               553          254          -0.004208      
image.jpg         259               574          253          0.003498       
image.jpg         260               581          256          0.009290       
image.jpg         261               592          276          0.029412       
image.jpg         262               555          427          0.023175       
image.jpg         263               584          262          0.022180       
image.jpg         264               617          268          0.085181       
image.jpg         265               602          268          0.041168       
image.jpg         266               564          324          0.000304       
image.jpg         267               529          374          -0.020591      
image.jpg         268               527          383          -0.013315      
image.jpg         269               543          374          -0.010790      
image.jpg         270               551          375          0.000901       
image.jpg         271               537          381          -0.006407      
image.jpg         272               545          380          0.003881       
image.jpg         273               562          387          0.024185       
image.jpg         274               526          344          -0.059550      
image.jpg         275               527          333          -0.064592      
image.jpg         276               597          244          0.011537       
image.jpg         277               540          298          -0.008696      
image.jpg         278               548          335          -0.026933      
image.jpg         279               547          328          -0.024023      
image.jpg         280               594          319          0.019933       
image.jpg         281               525          318          -0.059303      
image.jpg         282               574          237          -0.014884      
image.jpg         283               588          238          -0.003147      
image.jpg         284               601          204          0.041640       
image.jpg         285               529          249          -0.029938      
image.jpg         286               543          257          -0.001536      
image.jpg         287               571          376          0.026676       
image.jpg         288               608          369          0.134940       
image.jpg         289               540          342          -0.022640      
image.jpg         290               532          346          -0.024805      
image.jpg         291               560          376          0.025173       
image.jpg         292               556          377          0.021218       
image.jpg         293               593          230          0.001997       
image.jpg         294               548          339          -0.019699      
image.jpg         295               555          240          -0.024198      
image.jpg         296               557          230          -0.028280      
image.jpg         297               563          182          -0.014218      
image.jpg         298               597          217          0.018766       
image.jpg         299               559          205          -0.022385      
image.jpg         300               602          238          0.021460       
image.jpg         301               606          231          0.044081       
image.jpg         302               529          380          -0.018074      
image.jpg         303               540          379          -0.008888      
image.jpg         304               548          378          0.001540       
image.jpg         305               538          344          -0.020830      
image.jpg         306               558          376          0.022969       
image.jpg         307               553          380          0.014796       
image.jpg         308               554          377          0.020617       
image.jpg         309               536          341          -0.040379      
image.jpg         310               542          379          0.005669       
image.jpg         311               535          381          -0.001649      
image.jpg         312               525          383          -0.008037      
image.jpg         313               530          410          0.001668       
image.jpg         314               529          398          -0.009957      
image.jpg         315               528          392          -0.011544      
image.jpg         316               527          387          -0.009251      
image.jpg         317               526          384          -0.007689      
image.jpg         318               544          380          0.006209       
image.jpg         319               545          381          0.004547       
image.jpg         320               547          383          0.003804       
image.jpg         321               549          387          0.006882       
image.jpg         322               559          363          0.003444       
image.jpg         323               614          314          0.143114       
image.jpg         324               548          379          0.014849       
image.jpg         325               551          379          0.013966       
image.jpg         326               528          352          -0.024095      
image.jpg         327               544          345          -0.010834      
image.jpg         328               530          349          -0.024966      
image.jpg         329               551          303          -0.001802      
image.jpg         330               569          309          0.004781       
image.jpg         331               548          332          -0.016324      
image.jpg         332               586          190          0.012204       
image.jpg         333               582          207          -0.002803      
image.jpg         334               577          227          -0.014016      
image.jpg         335               554          396          0.016958       
image.jpg         336               533          235          -0.037069      
image.jpg         337               534          206          -0.035127      
image.jpg         338               535          179          -0.031583      
image.jpg         339               579          273          0.016371       
image.jpg         340               603          283          0.038666       
image.jpg         341               535          274          0.003376       
image.jpg         342               592          257          0.020784       
image.jpg         343               533          292          -0.015143      
image.jpg         344               542          333          -0.040340      
image.jpg         345               613          289          0.055064       
image.jpg         346               597          291          0.028676       
image.jpg         347               585          296          0.016636       
image.jpg         348               565          296          0.008106       
image.jpg         349               550          293          0.002750       
image.jpg         350               539          289          -0.003274      
image.jpg         351               520          280          -0.033217      
image.jpg         352               614          312          0.055902       
image.jpg         353               600          255          0.026848       
image.jpg         354               522          350          -0.053160      
image.jpg         355               541          310          -0.011696      
image.jpg         356               615          266          0.124648       
image.jpg         357               531          284          -0.007375      
image.jpg         358               548          332          -0.004022      
image.jpg         359               586          263          0.025192       
image.jpg         360               541          325          -0.036747      
image.jpg         361               613          341          0.142182       
image.jpg         362               535          269          0.005860       
image.jpg         363               533          320          -0.050395      
image.jpg         364               594          397          0.072342       
image.jpg         365               591          409          0.095669       
image.jpg         366               619          314          0.100184       
image.jpg         367               606          381          0.086675       
image.jpg         368               611          247          0.067742       
image.jpg         369               556          438          0.032209       
image.jpg         370               520          351          -0.036839      
image.jpg         371               550          317          -0.004901      
image.jpg         372               610          270          0.054665       
image.jpg         373               570          269          0.010576       
image.jpg         374               561          271          0.006683       
image.jpg         375               555          381          0.017675       
image.jpg         376               614          334          0.063496       
image.jpg         377               537          454          0.034573       
image.jpg         378               565          436          0.062167       
image.jpg         379               577          425          0.077267       
image.jpg         380               551          271          0.004722       
image.jpg         381               543          270          0.004948       
image.jpg         382               538          270          0.006231       
image.jpg         383               606          252          0.039361       
image.jpg         384               544          260          0.002182       
image.jpg         385               554          255          0.000907       
image.jpg         386               563          254          0.002686       
image.jpg         387               573          255          0.007023       
image.jpg         388               579          258          0.011932       
image.jpg         389               614          241          0.099869       
image.jpg         390               576          267          0.014969       
image.jpg         391               550          359          -0.006483      
image.jpg         392               541          341          -0.027989      
image.jpg         393               530          360          -0.021206      
image.jpg         394               581          413          0.060589       
image.jpg         395               569          425          0.047283       
image.jpg         396               539          447          0.018267       
image.jpg         397               600          391          0.117204       
image.jpg         398               538          266          0.004128       
image.jpg         399               528          297          -0.032309      
image.jpg         400               553          446          0.046172       
image.jpg         401               618          338          0.102249       
image.jpg         402               536          382          -0.001328      
image.jpg         403               537          384          -0.003054      
image.jpg         404               539          388          -0.004057      
image.jpg         405               540          393          -0.001571      
image.jpg         406               543          404          0.008582       
image.jpg         407               551          378          0.013204       
image.jpg         408               555          377          0.013623       
image.jpg         409               557          375          0.013454       
image.jpg         410               568          368          0.015207       
image.jpg         411               604          341          0.037840       
image.jpg         412               526          285          -0.023308      
image.jpg         413               528          264          -0.005806      
image.jpg         414               534          265          0.000337       
image.jpg         415               549          377          0.014220       
image.jpg         416               604          367          0.060682       
image.jpg         417               521          265          -0.022910      
image.jpg         418               549          415          0.016410       
image.jpg         419               521          293          -0.043069      
image.jpg         420               536          315          -0.028257      
image.jpg         421               534          423          0.006131       
image.jpg         422               571          392          0.032050       
image.jpg         423               557          339          0.001384       
image.jpg         424               561          405          0.025321       
image.jpg         425               582          335          0.009340       
image.jpg         426               568          349          0.007668       
image.jpg         427               592          351          0.023834       
image.jpg         428               538          437          0.009805       
image.jpg         429               542          319          -0.017621      
image.jpg         430               579          400          0.045053       
image.jpg         431               567          414          0.035876       
image.jpg         432               580          378          0.032629       
image.jpg         433               612          353          0.070510       
image.jpg         434               592          379          0.045381       
image.jpg         435               614          361          0.100696       
image.jpg         436               578          360          0.017479       
image.jpg         437               534          304          -0.021301      
image.jpg         438               539          339          -0.042804      
image.jpg         439               545          339          -0.028547      
image.jpg         440               535          333          -0.052974      
image.jpg         441               536          256          -0.009628      
image.jpg         442               553          250          -0.010512      
image.jpg         443               568          248          -0.007444      
image.jpg         444               580          248          -0.000432      
image.jpg         445               588          250          0.008651       
image.jpg         446               593          266          0.031019       
image.jpg         447               619          291          0.093805       
image.jpg         448               587          281          0.023447       
image.jpg         449               576          285          0.015147       
image.jpg         450               562          286          0.008534       
image.jpg         451               549          285          0.004470       
image.jpg         452               539          282          0.001221       
image.jpg         453               532          279          -0.001035      
image.jpg         454               614          290          0.138009       
image.jpg         455               544          341          -0.022301      
image.jpg         456               530          309          -0.039614      
image.jpg         457               533          341          -0.053033      
image.jpg         458               527          346          -0.048204      
image.jpg         459               532          342          -0.046991      
image.jpg         460               541          344          -0.018326      
image.jpg         461               525          348          -0.051275      
image.jpg         462               523          350          -0.036829      
image.jpg         463               532          271          0.003136       
image.jpg         464               527          274          -0.004756      
image.jpg         465               525          277          -0.013412      
image.jpg         466               582          260          0.016524       
image.jpg         467               586          258          0.017114       
